iter	Passed	Remaining
220	2341	8255
221	2343	8213
222	2345	8173
223	2347	8132
224	2349	8092
225	2351	8052
226	2355	8020
227	2357	7981
228	2359	7942
229	2360	7903
230	2362	7864
231	2364	7827
232	2366	7789
233	2369	7755
234	2371	7719
235	2373	7682
236	2374	7645
237	2376	7609
238	2378	7572
239	2380	7536
240	2385	7511
241	2386	7475
242	2388	7440
243	2390	7405
244	2391	7371
245	2393	7337
246	2396	7306
247	2399	7277
248	2401	7243
249	2403	7210
250	2405	7177
251	2407	7144
252	2408	7112
253	2410	7079
254	2413	7051
255	2415	7020
256	2417	6989
257	2419	6957
258	2421	6926
259	2422	6895
260	2427	6872
261	2429	6843
262	2431	6812
263	2433	6783
264	2434	6753
265	2436	6723
266	2438	6694
267	2443	6673
268	2445	6644
269	2446	6615
270	2448	6587
271	2450	6558
272	2452	6531
273	2455	6506
274	2458	6480
275	2459	6452
276	2461	6425
277	2463	6398
278	2465	6371
279	2467	6345
280	2471	6324
281	2473	6298
282	2475	6271
283	2476	6244
284	2478	6218
285	2480	6192
286	2482	6167
287	2486	6147
288	2488	6123
289	2490	6098
290	2492	6072
291	2494	6047
292	2495	6022
293	2498	5999
294	2502	5980
295	2504	5955
296	2506	5931
297	2507	5907
298	2509	5883
299	2511	5860
300	2513	5836
301	2517	5819
302	2520	5796
303	2522	5774
304	2524	5751
305	2526	5730
306	2528	5707
307	2532	5690
308	2534	5668
309	2536	5646
310	2538	5624
311	2540	5602
312	2542	5580
313	2547	5564
314	2548	5542
315	2550	5521
316	2552	5499
317	2554	5479
318	2556	5457
319	2558	5436
320	2563	5422
321	2565	5401
322	2567	5380
323	2569	5360
324	2570	5339
325	2572	5318
326	2575	5300
327	2577	5281
328	2579	5261
329	2581	5241
330	2583	5221
331	2585	5201
332	2587	5181
333	2589	5164
334	2592	5145
335	2594	5126
336	2596	5108
337	2598	5088
338	2599	5069
339	2601	5050
340	2605	5035
341	2607	5016
342	2609	4998
343	2611	4980
344	2613	4962
345	2615	4943
346	2617	4925
347	2621	4911
348	2623	4893
349	2625	4875
350	2627	4857
351	2628	4839
352	2630	4821
353	2632	4804
354	2637	4791
355	2638	4773
356	2640	4756
357	2642	4738
358	2644	4721
359	2646	4704
360	2647	4686
361	2651	4672
362	2652	4655
363	2654	4638
364	2656	4621
365	2658	4604
366	2659	4587
367	2661	4571
368	2665	4557
369	2667	4541
370	2669	4525
371	2670	4509
372	2672	4492
373	2674	4476
374	2678	4464
375	2680	4448
376	2682	4432
377	2684	4416
378	2685	4400
379	2687	4385
380	2690	4370
381	2694	4359
382	2696	4344
383	2698	4329
384	2701	4314
385	2703	4300
386	2709	4291
387	2711	4277
388	2714	4263
389	2716	4249
390	2719	4235
391	2724	4225
392	2726	4211
393	2729	4197
394	2731	4183
395	2733	4169
396	2736	4155
397	2740	4145
398	2743	4131
399	2745	4117
400	2748	4105
401	2751	4093
402	2754	4080
403	2756	4066
404	2759	4053
405	2761	4040
406	2763	4026
407	2768	4016
408	2770	4003
409	2773	3990
410	2775	3977
411	2777	3964
412	2781	3953
413	2783	3940
414	2785	3926
415	2788	3913
416	2789	3900
417	2791	3887
418	2793	3873
419	2798	3864
420	2800	3851
421	2802	3838
422	2804	3825
423	2806	3812
424	2807	3798
425	2812	3789
426	2814	3777
427	2816	3764
428	2818	3751
429	2820	3738
430	2822	3726
431	2824	3713
432	2828	3703
433	2830	3690
434	2831	3678
435	2833	3665
436	2835	3652
437	2837	3640
438	2840	3629
439	2842	3617
440	2844	3605
441	2845	3592
442	2847	3580
443	2849	3568
444	2852	3557
445	2855	3546
446	2857	3534
447	2859	3522
448	2860	3510
449	2862	3498
450	2864	3486
451	2869	3478
452	2871	3467
453	2874	3456
454	2877	3446
455	2879	3435
456	2883	3426
457	2885	3414
458	2887	3403
459	2888	3391
460	2891	3380
461	2892	3368
462	2894	3357
463	2901	3351
464	2903	3340
465	2905	3329
466	2907	3318
467	2909	3307
468	2914	3300
469	2917	3289
470	2919	3278
471	2921	3267
472	2923	3257
473	2928	3249
474	2930	3239
475	2932	3228
476	2935	3218
477	2938	3208
478	2944	3202
479	2948	3193
480	2951	3184
481	2953	3173
482	2955	3163
483	2961	3156
484	2963	3146
485	2965	3135
486	2966	3125
487	2969	3115
488	2971	3105
489	2976	3097
490	2977	3087
491	2980	3077
492	2982	3067
493	2985	3058
494	2990	3051
495	2993	3041
496	2995	3031
497	2998	3022
498	3001	3013
499	3004	3004
500	3006	2994
501	3009	2985
502	3011	2975
503	3013	2966
504	3018	2958
505	3020	2949
506	3023	2939
507	3025	2930
508	3028	2920
509	3032	2913
510	3035	2904
511	3038	2895
512	3040	2886
513	3042	2876
514	3044	2867
515	3049	2860
516	3051	2850
517	3053	2841
518	3055	2832
519	3058	2822
520	3062	2815
521	3065	2806
522	3067	2797
523	3069	2788
524	3071	2779
525	3073	2769
526	3079	2763
527	3081	2754
528	3083	2745
529	3085	2736
530	3087	2727
531	3089	2717
532	3094	2710
533	3096	2702
534	3098	2693
535	3100	2683
536	3102	2674
537	3104	2666
538	3109	2659
539	3112	2651
540	3114	2642
541	3116	2633
542	3118	2624
543	3123	2617
544	3125	2609
545	3126	2600
546	3128	2591
547	3130	2582
548	3133	2573
549	3138	2567
550	3140	2559
551	3142	2550
552	3144	2541
553	3146	2532
554	3148	2524
555	3153	2517
556	3155	2509
557	3157	2501
558	3159	2492
559	3161	2484
560	3163	2475
561	3165	2467
562	3168	2459
563	3171	2451
564	3173	2442
565	3175	2434
566	3177	2426
567	3179	2418
568	3182	2410
569	3184	2402
570	3186	2394
571	3188	2385
572	3190	2377
573	3192	2369
574	3197	2363
575	3199	2355
576	3202	2347
577	3204	2339
578	3206	2331
579	3208	2323
580	3211	2316
581	3214	2308
582	3217	2301
583	3220	2293
584	3222	2286
585	3225	2278
586	3227	2270
587	3229	2262
588	3231	2254
589	3233	2246
590	3235	2238
591	3239	2232
592	3241	2224
593	3243	2216
594	3245	2208
595	3247	2201
596	3249	2193
597	3250	2185
598	3255	2179
599	3257	2171
600	3259	2163
601	3261	2156
602	3263	2148
603	3264	2140
604	3268	2134
605	3271	2126
606	3273	2119
607	3275	2111
608	3277	2104
609	3279	2096
610	3281	2089
611	3286	2083
612	3288	2075
613	3290	2068
614	3291	2060
615	3294	2053
616	3296	2046
617	3302	2041
618	3304	2033
619	3306	2026
620	3308	2019
621	3311	2012
622	3317	2007
623	3319	2000
624	3321	1993
625	3324	1985
626	3326	1978
627	3330	1973
628	3333	1965
629	3335	1958
630	3337	1951
631	3339	1944
632	3342	1937
633	3344	1930
634	3346	1923
635	3349	1916
636	3350	1909
637	3353	1902
638	3355	1895
639	3357	1888
640	3359	1881
641	3361	1874
642	3364	1867
643	3366	1860
644	3368	1853
645	3372	1848
646	3374	1841
647	3376	1834
648	3379	1827
649	3381	1820
650	3385	1814
651	3387	1808
652	3390	1801
653	3393	1795
654	3395	1788
655	3397	1781
656	3401	1775
657	3403	1768
658	3405	1762
659	3407	1755
660	3411	1749
661	3417	1744
662	3421	1739
663	3423	1732
664	3425	1725
665	3427	1718
666	3431	1713
667	3433	1706
668	3435	1699
669	3437	1693
670	3439	1686
671	3441	1679
672	3442	1672
673	3448	1667
674	3451	1661
675	3454	1655
676	3457	1649
677	3463	1644
678	3466	1638
679	3469	1632
680	3472	1626
681	3477	1621
682	3479	1615
683	3482	1608
684	3484	1602
685	3486	1595
686	3488	1589
687	3494	1584
688	3496	1578
689	3499	1572
690	3501	1565
691	3503	1559
692	3508	1554
693	3510	1548
694	3512	1541
695	3515	1535
696	3517	1529
697	3522	1524
698	3525	1517
699	3527	1511
700	3533	1507
701	3536	1501
702	3538	1494
703	3540	1488
704	3542	1482
705	3548	1477
706	3550	1471
707	3552	1465
708	3554	1458
709	3556	1452
710	3558	1446
711	3564	1441
712	3566	1435
713	3568	1429
714	3570	1423
715	3572	1417
716	3580	1413
717	3582	1407
718	3584	1401
719	3586	1394
720	3588	1388
721	3594	1384
722	3596	1378
723	3598	1371
724	3600	1365
725	3603	1359
726	3607	1354
727	3610	1348
728	3612	1343
729	3615	1337
730	3616	1330
731	3618	1324
732	3622	1319
733	3624	1313
734	3626	1307
735	3628	1301
736	3630	1295
737	3632	1289
738	3636	1284
739	3638	1278
740	3639	1272
741	3641	1266
742	3643	1260
743	3645	1254
744	3647	1248
745	3650	1242
746	3652	1237
747	3654	1231
748	3656	1225
749	3658	1219
750	3660	1213
751	3662	1207
752	3666	1202
753	3668	1196
754	3670	1191
755	3672	1185
756	3674	1179
757	3677	1173
758	3680	1168
759	3682	1162
760	3684	1157
761	3686	1151
762	3687	1145
763	3690	1139
764	3692	1134
765	3693	1128
766	3696	1122
767	3698	1117
768	3700	1111
769	3702	1105
770	3704	1100
771	3706	1094
772	3709	1089
773	3711	1083
774	3713	1078
775	3715	1072
776	3717	1066
777	3719	1061
778	3721	1055
779	3725	1050
780	3727	1045
781	3729	1039
782	3731	1034
783	3733	1028
784	3737	1023
785	3743	1019
786	3745	1013
787	3747	1008
788	3749	1002
789	3750	997
790	3755	992
791	3758	986
792	3759	981
793	3761	975
794	3763	970
795	3765	964
796	3767	959
797	3774	955
798	3776	949
799	3778	944
800	3780	939
801	3782	933
802	3787	929
803	3790	923
804	3792	918
805	3793	913
806	3795	907
807	3797	902
808	3802	897
809	3804	892
810	3806	887
811	3808	881
812	3810	876
813	3811	871
814	3816	866
815	3818	861
816	3820	855
817	3821	850
818	3823	845
819	3825	839
820	3827	834
821	3830	829
822	3832	824
823	3834	818
824	3835	813
825	3837	808
826	3839	803
827	3844	798
828	3846	793
829	3848	788
830	3850	783
831	3852	777
832	3854	772
833	3856	767
834	3861	763
835	3863	757
836	3865	752
837	3867	747
838	3869	742
839	3871	737
840	3875	732
841	3877	727
842	3879	722
843	3881	717
844	3883	712
845	3884	707
846	3889	702
847	3891	697
848	3893	692
849	3895	687
850	3897	682
851	3899	677
852	3903	672
853	3906	667
854	3908	662
855	3910	657
856	3911	652
857	3914	647
858	3919	643
859	3921	638
860	3924	633
861	3926	628
862	3928	623
863	3930	618
864	3933	613
865	3935	608
866	3937	604
867	3939	599
868	3941	594
869	3943	589
870	3944	584
871	3946	579
872	3949	574
873	3950	569
874	3952	564
875	3954	559
876	3956	554
877	3957	549
878	3959	545
879	3963	540
880	3965	535
881	3967	530
882	3968	525
883	3970	521
884	3972	516
885	3974	511
886	3978	506
887	3980	502
888	3982	497
889	3984	492
890	3986	487
891	3988	482
892	3991	478
893	3993	473
894	3995	468
895	3997	463
896	3999	459
897	4000	454
898	4002	449
899	4004	444
900	4008	440
901	4009	435
902	4011	430
903	4013	426
904	4015	421
905	4017	416
906	4019	412
907	4022	407
908	4024	402
909	4026	398
910	4028	393
911	4030	388
912	4032	384
913	4034	379
914	4038	375
915	4040	370
916	4042	365
917	4043	361
918	4045	356
919	4047	351
920	4049	347
921	4053	342
922	4055	338
923	4056	333
924	4059	329
925	4060	324
926	4062	319
927	4064	315
928	4068	310
929	4070	306
930	4072	301
931	4074	297
932	4076	292
933	4079	288
934	4083	283
935	4085	279
936	4088	274
937	4089	270
938	4091	265
939	4093	261
940	4096	256
941	4098	252
942	4100	247
943	4102	243
944	4104	238
945	4106	234
946	4108	229
947	4112	225
948	4113	221
949	4115	216
950	4117	212
951	4119	207
952	4121	203
953	4123	198
954	4127	194
955	4129	190
956	4132	185
957	4134	181
958	4136	176
959	4138	172
960	4142	168
961	4145	163
962	4147	159
963	4149	154
964	4151	150
965	4152	146
966	4154	141
967	4157	137
968	4159	133
969	4161	128
970	4163	124
971	4166	120
972	4168	115
973	4172	111
974	4174	107
975	4176	102
976	4178	98
977	4179	94
978	4181	89
979	4186	85
980	4189	81
981	4192	76
982	4194	72
983	4196	68
984	4198	63
985	4204	59
986	4206	55
987	4209	51
988	4211	46
989	4213	42
990	4217	38
991	4219	34
992	4221	29
993	4223	25
994	4225	21
995	4227	16
996	4230	12
997	4232	8
998	4234	4
999	4236	0
